X1_num,"['with class 5', 'numerical']"
X1_cat,"['with class 5', 'categorical']"
X2_num,"['without class 5', 'numerical']"
X2_cat,"['without class 5', 'categorical']"
X3_cat,"['with class 5', 'categorical', 'fill_categories']"
X4_cat,"['without class 5', 'categorical', 'fill_categories']"
X3_num,"['with class 5', 'numerical', 'fill_numeric']"
X4_num,"['without class 5', 'numerical', 'fill_numeric']"
X5_num,"['with class 5', 'numerical', 'scale_features']"
X6_num,"['without class 5', 'numerical', 'scale_features']"
X7_num,"['with class 5', 'numerical', 'fill_numeric', 'scale_features']"
X8_num,"['without class 5', 'numerical', 'fill_numeric', 'scale_features']"
X5_cat,"['with class 5', 'categorical', 'encode_categories']"
X6_cat,"['with class 5', 'categorical', 'remove_categories']"
X7_cat,"['without class 5', 'categorical', 'encode_categories']"
X8_cat,"['without class 5', 'categorical', 'remove_categories']"
X9_cat,"['with class 5', 'categorical', 'fill_categories', 'encode_categories']"
X10_cat,"['with class 5', 'categorical', 'fill_categories', 'remove_categories']"
X11_cat,"['without class 5', 'categorical', 'fill_categories', 'encode_categories']"
X12_cat,"['without class 5', 'categorical', 'fill_categories', 'remove_categories']"
